#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-font-awesome,"provides extended glyph support."
,ttf-dejavu,"properly displays emojis."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,lf,"is an extensive terminal file manager that everyone likes."
,ueberzug,"enables previews in the lf file manager."
,bc,"is a mathematics language used for the dropdown calculator."
,bat,"is a clone of cat with syntax highlighting and git integration."
A,c-lolcat,"is a clone of cat but with rainbows."
,sl,"Steam Locomotive runs across your terminal when you type sl as you meant to type ls."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,numlockx,"activates the numlock key."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,pcmanfm,"is a extremely fast and lightweight file manager."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,feh,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
A,librewolf-bin,"is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
,ntfs-3g,"allows accessing NTFS partitions."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
A,unclutter-xfixes-git,"hides an inactive mouse."
,zip,"zips zips."
,unzip,"unzips zips."
,lzop,"is a file compressor using lzo lib."
A,lha,"is a file compressor using LH-7 format archives."
,p7zip,"is a file compressor with a high compression ratio."
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,fd,"is a fast, and friendly alternative to find."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
G,https://github.com/matthew55/dwm.git,"is the window manager."
G,https://github.com/matthew55/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/matthew55/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/matthew55/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/matthew55/nsxiv.git,"serves as the modular status bar."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,moreutils,"is a collection of useful unix tools."
,openssh,"allows for remote login, command execution, and file transfer."
,rsync,"is a fast and versatile file copying tool for remote and local files."
,reflector,"is a script to retrieve and filter the latest Pacman mirror list."
,pacman-contrib,"is scripts and tools for pacman systems."
,python-pywal,"allows for generating and changing colorschemes on the fly."
,arch-wiki-docs,"is the Arch Wiki pages optimized for offline browsing."
A,mullvad-vpn-bin,"is the desktop client app for Mullvad VPN."
,pamixer,"is a command-line mixer for pulseaudio."
,pulsemixer,"is a CLI and curses mixer for pulseaudio."
A,xsct,"allows for settings of screen color temperature."
A,vscodium-bin,"is VS Code without MS branding/telemetry/licensing."
